timestamp,test-class,test-method,time,description,result
2021-05-30 16:35:07.706,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,9134,"[1] recordIndex=0, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:35:17.393,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8944,"[2] recordIndex=1, title=Clean my car, description=I have to clean my car, periodInitial=2021/06/15 17:50, periodFinal=2021/08/31 19:55, workloadInHours=990.01, Link=null, isPublic=false",OK
2021-05-30 16:35:24.745,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6649,"[3] recordIndex=2, title=Study the math test, description=I have to study this month, periodInitial=2021/06/28 13:50, periodFinal=2021/07/28 17:55, workloadInHours=9.00, Link=http://mathExams.com, isPublic=false",OK
2021-05-30 16:35:33.481,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8133,"[4] recordIndex=3, title=Developing my application, description=I have to finish developing my application, periodInitial=2021/07/30 17:50, periodFinal=2021/07/31 19:55, workloadInHours=0.01, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:35:41.384,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7318,"[5] recordIndex=4, title=Study the math exam, description=I have to study the math exam, periodInitial=2021/06/24 19:50, periodFinal=2021/08/30 17:55, workloadInHours=1.34, Link=null, isPublic=false",OK
2021-05-30 16:35:50.041,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8006,"[6] recordIndex=5, title=Clean the car, description=I have to clean the car, periodInitial=2021/06/30 17:30, periodFinal=2021/06/30 18:30, workloadInHours=0.59, Link=http://lavaderosSevilla.com, isPublic=false",OK
2021-05-30 16:35:57.294,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6617,"[7] recordIndex=6, title=Probando manager Id, description=Tengo que ir a comprar tomates, periodInitial=2021/09/31 17:50, periodFinal=2022/08/31 18:55, workloadInHours=1.00, Link=http://www.sample-app.com/, isPublic=false",OK
2021-05-30 16:36:05.2,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7300,"[8] recordIndex=7, title=Hacer DP tarea 8, description=Tengo que terminar la entrega, periodInitial=2021/07/31 17:50, periodFinal=2021/08/29 19:55, workloadInHours=1.00, Link=null, isPublic=false",OK
2021-05-30 16:36:13.155,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7338,"[9] recordIndex=8, title=Hacer DP tarea 7, description=Tengo que terminar la entrega, periodInitial=2021/06/31 17:50, periodFinal=2021/08/11 19:55, workloadInHours=1.00, Link=http://www.sample-app.com/, isPublic=false",OK
2021-05-30 16:36:21.695,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7953,"[10] recordIndex=9, title=Hacer la compra, description=Tengo que terminar la entrega, periodInitial=2021/07/07 00:00, periodFinal=2021/07/08 00:00, workloadInHours=1.00, Link=null, isPublic=false",OK
2021-05-30 16:36:29.18,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6801,"[11] recordIndex=10, title=Hacer DP tarea 5, description=Tengo que terminar la entrega, periodInitial=2021/06/31 19:50, periodFinal=2021/08/30 17:55, workloadInHours=1.00, Link=http://www.sample-app.com/, isPublic=false",OK
2021-05-30 16:36:37.177,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7300,"[12] recordIndex=11, title=Hacer DP tarea 10, description=Tengo que terminar la entrega, periodInitial=2021/07/31 13:50, periodFinal=2021/08/15 17:55, workloadInHours=1.00, Link=http://www.sample-app.com/, isPublic=false",OK
2021-05-30 16:36:45.829,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8032,"[13] recordIndex=12, title=g, description=Tengo que terminar la entrega, periodInitial=2021/07/31 13:50, periodFinal=2021/08/15 17:55, workloadInHours=1.00, Link=http://www.sample-app.com/, isPublic=false",OK
2021-05-30 16:36:54.163,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7677,"[14] recordIndex=13, title=Esto son 80 caracteres: ggggggggggggggggggggggggggggggggggggggggggggggggggggggg, description=Tengo que terminar la entrega, periodInitial=2021/07/31 13:50, periodFinal=2021/08/15 17:55, workloadInHours=1.00, Link=http://www.sample-app.com/, isPublic=false",OK
2021-05-30 16:37:02.099,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7378,"[15] recordIndex=14, title=Hacer DP tarea 10, description=F, periodInitial=2021/07/31 13:50, periodFinal=2021/08/15 17:55, workloadInHours=1.00, Link=http://www.sample-app.com/, isPublic=false",OK
2021-05-30 16:37:10.541,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7845,"[16] recordIndex=15, title=Hacer DP tarea 10, description=En efecto rematado ya su juicio'vino a dar en el más extraño pensamiento que jamás dio loco en el mundo y fue que le pareció convenible y necesario así para el aumento de su honra como para el servicio de su república hacerse caballero andante ″Yo sé quién soy–respondió don Quijote– y sé que puedo ser no sólo los que he dicho sino todos los doce Pares de Francia y aun todos los nueve de la Fama pues a todas las hazañas que ellos todos juntos y cada uno por sí hicieron se aventajarán las mías''.', periodInitial=2021/07/31 13:50, periodFinal=2021/08/15 17:55, workloadInHours=1.00, Link=http://www.sample-app.com/, isPublic=false",OK
2021-05-30 16:37:18.284,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7118,"[17] recordIndex=16, title=Probando manager Id, description=Tengo que ir a comprar tomates, periodInitial=2021/09/31 17:50, periodFinal=2021/09/31 18:50, workloadInHours=1.00, Link=http://www.sample-app.com/, isPublic=false",OK
2021-05-30 16:37:26.421,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7475,"[18] recordIndex=17, title=Probando manager Id, description=Tengo que ir a comprar tomates, periodInitial=2121/09/31 17:50, periodFinal=2022/08/31 18:55, workloadInHours=999.00, Link=http://www.sample-app.com/, isPublic=false",OK
2021-05-30 16:37:33.638,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6612,"[19] recordIndex=18, title=Probando manager Id, description=Tengo que ir a comprar tomates, periodInitial=2021/09/31 17:50, periodFinal=2021/09/31 17:51, workloadInHours=0.01, Link=http://www.sample-app.com/, isPublic=false",OK
2021-05-30 16:37:41.323,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7051,"[20] recordIndex=19, title=Probando manager Id, description=Tengo que ir a comprar tomates, periodInitial=2021/09/31 17:50, periodFinal=2022/08/31 18:55, workloadInHours=1.00, Link=http://www.sample-app.com/, isPublic=false",OK
2021-05-30 16:37:48.169,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6273,"[1] recordIndex=0, title=null, description=null, periodInitial=null, periodFinal=null, workloadInHours=null, Link=null, isPublic=false",OK
2021-05-30 16:37:55.836,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,7054,"[2] recordIndex=1, title=Nigeria, description=descripcion bien, periodInitial=2021/06/30 17:50, periodFinal=2021/10/31 18:55, workloadInHours=999.10, Link=http://www.sample-app.com/, isPublic=true",OK
2021-05-30 16:38:03.433,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,7027,"[3] recordIndex=2, title=Titulo correcto, description=sex, periodInitial=2021/06/30 17:50, periodFinal=2021/08/31 18:55, workloadInHours=1.00, Link=null, isPublic=false",OK
2021-05-30 16:38:10.273,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6322,"[4] recordIndex=3, title=Tarea 6, description=hacer la comida, periodInitial=2021/03/31 17:50, periodFinal=2021/08/31 18:55, workloadInHours=10.23, Link=http://www.sample-app.com/, isPublic=false",OK
2021-05-30 16:38:17.872,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,7078,"[5] recordIndex=3, title=Tarea 7, description=Descripcion, periodInitial=2021/07/31 17:50, periodFinal=2021/05/31 18:55, workloadInHours=20.99, Link=http://www.sample-app.com/, isPublic=true",OK
2021-05-30 16:38:25.243,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6810,"[6] recordIndex=4, title=Titulo, description=ir al gym, periodInitial=2021/09/30 17:50, periodFinal=2021/10/31 18:55, workloadInHours=-3.00, Link=null, isPublic=false",OK
2021-05-30 16:38:32.721,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6903,"[7] recordIndex=5, title=Tarea 9, description=Recoger colada, periodInitial=2021/06/30 17:50, periodFinal=2021/07/30 18:56, workloadInHours=725.00, Link=sample-app.com, isPublic=false",OK
2021-05-30 16:38:40.673,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,7360,"[8] recordIndex=6, title=null, description=I have to finish the dp delivery, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:38:48.741,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,7402,"[9] recordIndex=7, title=null, description=I have to finish the dp delivery, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:38:57.268,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,7987,"[10] recordIndex=8, title=Gustavo Adolfo Claudio Domínguez Bastida (February 171836 – December 221870) better known as Gustavo Adolfo Bécquer (Spanish pronunciation: [ɡusˈtaβo aˈðolfo ˈβekeɾ]) was a Spanish Romanticist poet and writer (mostly short stories) also a playwrigh literary columnist and talented in drawing. Today he is considered one of the most important figures in Spanish literature and is considered by some as the most read writer after Miguel de Cervantes.[1] He adopted the alias of Bécquer as his brother Valeriano Bé…, description=I have to finish the dp delivery, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:39:05.031,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,7212,"[11] recordIndex=9, title=Do exercises, description=null, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:39:12.662,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,7090,"[12] recordIndex=10, title=Do exercises, description=null, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:39:22.78,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,9537,"[13] recordIndex=11, title=Do exercises, description=Gustavo Adolfo Claudio Domínguez Bastida (February 171836 – December 221870) better known as Gustavo Adolfo Bécquer (Spanish pronunciation: [ɡusˈtaβo aˈðolfo ˈβekeɾ]) was a Spanish Romanticist poet and writer (mostly short stories) also a playwrigh literary columnist and talented in drawing. Today he is considered one of the most important figures in Spanish literature and is considered by some as the most read writer after Miguel de Cervantes.[1] He adopted the alias of Bécquer as his brother Valeriano Bé…, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:39:31.335,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,7959,"[14] recordIndex=12, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2011/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:39:41.112,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,9149,"[15] recordIndex=13, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2011/08/03 17:50, periodFinal=2011/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:39:50.492,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,8804,"[16] recordIndex=14, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2021/08/03 17:50, periodFinal=2021/08/04 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:39:58.538,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,7378,"[17] recordIndex=15, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2022/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:40:07.65,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,8517,"[18] recordIndex=16, title=Developing my application, description=I have to finish developing my application, periodInitial=2021/07/30 17:50, periodFinal=2021/07/31 19:55, workloadInHours=2000.01, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:40:16.254,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,7970,"[19] recordIndex=3, title=Developing my application, description=I have to finish developing my application, periodInitial=2021/07/30 17:50, periodFinal=2021/07/31 19:55, workloadInHours=-1.01, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:40:23.832,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6980,"[20] recordIndex=3, title=Developing my application, description=I have to finish developing my application, periodInitial=2021/07/30 17:50, periodFinal=2021/07/31 19:55, workloadInHours=1.0000000004, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:40:32.013,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,7588,"[21] recordIndex=3, title=Developing my application, description=I have to finish developing my application, periodInitial=2021/07/30 17:50, periodFinal=2021/07/31 19:55, workloadInHours=0.71, Link=http://www.sample-app.com, isPublic=true",OK
2021-05-30 16:40:39.208,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6518,"[22] recordIndex=3, title=Developing my application, description=I have to finish developing my application, periodInitial=2021/07/30 17:50, periodFinal=2021/07/31 19:55, workloadInHours=0.01, Link=Esto deberia de ser una URL, isPublic=true",OK
2021-05-30 16:41:03.421,acme.testing.manager.task.ManagerTaskListTest,taskShowServiceTest,8296,"[1] recordIndex=0, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2021/03/31 17:50, periodFinal=2021/03/31 18:55, workloadInHours=0.44, Link=http://www.sample-app.com",OK
2021-05-30 16:41:11.472,acme.testing.manager.task.ManagerTaskListTest,taskShowServiceTest,7463,"[2] recordIndex=1, title=Clean my car, description=I have to clean my car, periodInitial=2021/03/31 17:50, periodFinal=2021/08/11 19:55, workloadInHours=8.59, Link=null",OK
